"縣市名稱","行政區域"
"高雄市","彌陀區彌壽里"
"高雄市","彌陀區彌陀里"
"高雄市","彌陀區舊港里"
"高雄市","彌陀區文安里"
"高雄市","彌陀區鹽埕里"
"高雄市","彌陀區過港里"
"高雄市","彌陀區海尾里"
"高雄市","彌陀區漯底里"
"高雄市","彌陀區南寮里"
"高雄市","梓官區梓信里"
"高雄市","梓官區梓義里"
"高雄市","梓官區梓和里"
"高雄市","梓官區梓平里"
"高雄市","梓官區中崙里"
"高雄市","梓官區赤崁里"
"高雄市","梓官區禮蚵里"
"高雄市","梓官區智蚵里"
"高雄市","梓官區信蚵里"
"高雄市","梓官區同安里"
"高雄市","梓官區大舍里"
"高雄市","梓官區赤東里"
"高雄市","梓官區赤西里"
"高雄市","梓官區茄苳里"
"高雄市","梓官區典寶里"
"高雄市","旗山區太平里"
"高雄市","旗山區大德里"
"高雄市","旗山區湄洲里"
"高雄市","旗山區圓富里"
"高雄市","旗山區中正里"
"高雄市","旗山區大林里"
"高雄市","旗山區上洲里"
"高雄市","旗山區新光里"
"高雄市","旗山區南勝里"
"高雄市","旗山區中寮里"
"高雄市","旗山區東平里"
"高雄市","旗山區東昌里"
"高雄市","旗山區竹峰里"
"高雄市","旗山區瑞吉里"
"高雄市","旗山區永和里"
"高雄市","旗山區三協里"
"高雄市","旗山區鯤洲里"
"高雄市","旗山區大山里"
"高雄市","旗山區中洲里"
"高雄市","旗山區南洲里"
"高雄市","旗山區廣福里"
"高雄市","美濃區福安里"
"高雄市","美濃區合和里"
"高雄市","美濃區祿興里"
"高雄市","美濃區中壇里"
"高雄市","美濃區德興里"
"高雄市","美濃區龍山里"
"高雄市","美濃區獅山里"
"高雄市","美濃區龍肚里"
"高雄市","美濃區廣德里"
"高雄市","美濃區興隆里"
"高雄市","美濃區中圳里"
"高雄市","美濃區東門里"
"高雄市","美濃區泰安里"
"高雄市","美濃區瀰濃里"
"高雄市","美濃區清水里"
"高雄市","美濃區吉洋里"
"高雄市","美濃區吉和里"
"高雄市","美濃區吉東里"
"高雄市","美濃區廣林里"
"高雄市","六龜區新威里"
"高雄市","六龜區新興里"
"高雄市","六龜區新寮里"
"高雄市","六龜區新發里"
"高雄市","六龜區荖濃里"
"高雄市","六龜區六龜里"
"高雄市","六龜區義寶里"
"高雄市","六龜區興龍里"
"高雄市","六龜區中興里"
"高雄市","六龜區寶來里"
"高雄市","六龜區文武里"
"高雄市","六龜區大津里"
"高雄市","甲仙區東安里"
"高雄市","甲仙區西安里"
"高雄市","甲仙區和安里"
"高雄市","甲仙區大田里"
"高雄市","甲仙區寶隆里"
"高雄市","甲仙區關山里"
"高雄市","甲仙區小林里"
"高雄市","杉林區杉林里"
"高雄市","杉林區木梓里"
"高雄市","杉林區集來里"
"高雄市","杉林區新庄里"
"高雄市","杉林區上平里"
"高雄市","杉林區月眉里"
"高雄市","杉林區月美里"
"高雄市","杉林區大愛里"
"高雄市","內門區溝坪里"
"高雄市","內門區金竹里"
"高雄市","內門區永富里"
"高雄市","內門區永吉里"
"高雄市","內門區永興里"
"高雄市","內門區石坑里"
"高雄市","內門區內門里"
